Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
VPM,Ventral posteromedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,Ventral posteromedial nucleus of the thalamus,,1000,4.5
VPMpc,"Ventral posteromedial nucleus of the thalamus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,"Ventral posteromedial nucleus of the thalamus, parvicellular part",,1000,24.46
PoT,Posterior triangular thalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Posterior triangular thalamic nucleus,,,1000,20.96
SPFm,"Subparafascicular nucleus, magnocellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"Subparafascicular nucleus, magnocellular part",,,1000,426.97
SPFp,"Subparafascicular nucleus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"Subparafascicular nucleus, parvicellular part",,,1000,41.21
SPA,Subparafascicular area,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular area,,,,1000,61.14
PP,Peripeduncular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Peripeduncular nucleus,,,,1000,34.35
MGd,"Medial geniculate complex, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, dorsal part",,1000,17.33
MGv,"Medial geniculate complex, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, ventral part",,1000,12.49
MGm,"Medial geniculate complex, medial part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, medial part",,1000,14.03
LGd-sh,"Dorsal part of the lateral geniculate complex, shell",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, shell",,1000,9.75
LGd-co,"Dorsal part of the lateral geniculate complex, core",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, core",,1000,5.08
LGd-ip,"Dorsal part of the lateral geniculate complex, ipsilateral zone",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, ipsilateral zone",,1000,7.04
